Away,Average_Score_gols_A,Average_Conceding_gols_A,Away_General_Avg_Score_gols,Away_General_Avg_Conceding_gols,Average_xG_A,Average_ShotsTotal_A,Average_ShotsTarget_A,Average_Possession_A,Average_SaveTotal_A,Average_SaveCompleted_A,Average_Corners_A,Away_General_Avg_xG,Away_General_Avg_ShotsTotal,Away_General_Avg_ShotsTarget,Away_General_Avg_Possession,Away_Recent_Form
América (MG),1.0,2.2,0.8,2.8,0.9,11.4,3.8,0.44399999999999995,7.2,5.2,4.8,0.9400000000000001,10.8,2.8,0.5,3.0
Ath Paranaense,0.8,2.0,1.2,0.8,0.7,10.0,3.0,0.292,5.6,3.6,3.8,1.44,14.2,5.2,0.354,8.0
Atl Goianiense,0.6,2.4,1.0,1.2,1.0,14.4,4.0,0.496,6.0,3.6,4.4,1.02,15.6,4.8,0.506,5.0
Atlético Mineiro,0.0,1.2,1.0,0.4,0.42000000000000004,10.2,2.2,0.514,5.0,3.8,3.0,0.62,13.2,3.4,0.4720000000000001,8.0
Avaí,0.2,2.2,0.8,1.4,0.8400000000000001,11.2,3.8,0.502,5.2,3.4,5.4,1.1800000000000002,12.0,3.6,0.47400000000000003,4.0
Bahia,0.6,2.4,1.4,1.2,0.72,10.2,3.4,0.45999999999999996,5.8,3.8,3.2,1.5799999999999998,15.6,5.4,0.53,9.0
Botafogo (RJ),0.6,1.0,1.4,1.0,0.9200000000000002,11.4,2.6,0.5,3.2,2.4,2.8,1.4999999999999996,15.2,5.4,0.458,8.0
Ceará,0.4,0.8,0.6,1.0,0.82,11.4,4.6,0.466,3.6,2.8,4.0,0.9600000000000002,14.0,3.2,0.49399999999999994,4.0
Corinthians,0.8,1.0,1.6,0.6,0.64,8.4,2.4,0.5199999999999999,3.2,2.6,5.0,1.58,10.0,2.4,0.546,12.0
Coritiba,2.2,1.6,1.2,0.8,1.2000000000000002,9.2,3.2,0.38,5.6,4.4,3.4,0.8800000000000001,10.6,2.8,0.438,7.0
Criciúma,0.4,1.2,0.6,2.0,0.4800000000000001,7.0,3.6,0.358,6.8,5.6,2.8,0.86,12.6,3.8,0.396,1.0
Cruzeiro,0.6,0.8,1.2,0.6,0.96,11.2,3.4,0.44000000000000006,3.8,3.0,5.0,1.36,12.8,5.2,0.5,9.0
Cuiabá,0.2,0.4,0.6,1.0,0.43999999999999995,7.4,1.0,0.384,3.8,3.4,3.4,0.64,6.8,1.4,0.364,3.0
Flamengo,1.4,0.6,1.8,0.8,1.0,12.6,3.2,0.624,2.8,2.2,4.8,1.48,13.6,4.6,0.6,9.0
Fluminense,0.8,1.6,0.6,0.8,0.9,9.8,3.6,0.538,4.8,3.2,4.2,1.3200000000000003,13.0,4.6,0.54,9.0
Fortaleza,1.0,1.8,0.8,1.0,1.0,11.4,4.6,0.42400000000000004,5.4,4.2,3.6,1.28,14.2,5.0,0.41200000000000003,7.0
Goiás,1.4,2.0,0.6,1.2,1.06,15.0,4.6,0.454,5.0,3.4,4.4,0.82,16.0,4.6,0.516,3.0
Grêmio,0.8,2.0,1.0,1.6,0.6399999999999999,8.4,1.8,0.40800000000000003,5.6,4.4,3.2,1.6799999999999997,16.0,4.4,0.458,6.0
Internacional,0.6,2.0,0.6,1.0,0.74,7.0,2.0,0.422,5.8,3.8,2.4,1.3000000000000003,11.4,3.6,0.47800000000000004,4.0
Juventude,0.8,1.6,0.8,1.2,0.64,7.8,2.4,0.386,4.0,2.6,2.2,0.86,11.2,4.4,0.446,6.0
Mirassol,1.2,1.6,2.0,0.6,1.46,17.6,4.4,0.5700000000000001,3.8,2.4,5.2,1.64,12.4,4.8,0.534,13.0
Palmeiras,1.6,1.4,2.2,0.8,1.2200000000000002,15.4,6.0,0.514,4.8,3.8,6.0,1.64,20.8,8.6,0.54,10.0
RB Bragantino,0.8,2.2,0.8,2.4,0.9400000000000001,8.4,3.0,0.4119999999999999,5.8,3.6,3.4,1.02,10.0,2.2,0.47400000000000003,3.0
Santos,1.0,2.0,1.2,1.4,1.2,12.6,4.8,0.512,6.8,4.8,5.6,1.18,12.6,4.0,0.538,5.0
Sport Recife,0.6,1.6,0.8,1.8,1.6199999999999999,15.2,4.4,0.514,5.8,4.4,6.0,1.58,15.2,3.4,0.504,2.0
São Paulo,0.4,1.4,1.2,1.6,0.86,10.0,2.6,0.5319999999999999,5.8,5.0,5.6,1.2799999999999998,11.6,3.4,0.5159999999999999,6.0
Vasco da Gama,1.8,1.2,2.2,1.0,1.0,8.6,4.2,0.462,4.2,3.2,4.0,1.64,12.2,5.4,0.5439999999999999,12.0
Vitória,1.0,3.4,1.4,1.2,0.9600000000000002,7.0,2.4,0.372,6.0,3.0,2.2,1.72,8.8,2.4,0.33999999999999997,9.0
