Home,Average_Score_gols_H,Average_Conceding_gols_H,Average_xG_H,Average_ShotsTotal_H,Average_ShotsTarget_H,Average_Possession_H,Average_PassTotal_H,Average_SaveTotal_H,Average_SaveCompleted_H,Average_Corners_H,Home_General_Avg_Score_gols,Home_General_Avg_Conceding_gols,Home_General_Avg_xG,Home_General_Avg_ShotsTotal,Home_General_Avg_ShotsTarget,Home_General_Avg_Possession,Home_Recent_Form
América (MG),1.0,2.6,1.48,14.6,3.8,0.46399999999999997,460.6,6.0,3.6,5.6,0.4,2.6,0.9800000000000001,11.0,3.0,0.49399999999999994,1.0
Ath Paranaense,1.6,0.6,1.4600000000000002,17.4,5.4,0.43599999999999994,406.2,3.2,2.6,5.8,1.2,0.8,1.1199999999999999,11.6,4.4,0.294,8.0
Atl Goianiense,0.4,0.2,0.8399999999999999,12.8,4.0,0.46799999999999997,416.6,3.2,3.0,5.4,0.6,1.0,0.8,12.8,3.8,0.472,5.0
Atlético Mineiro,1.2,0.4,1.12,13.6,3.6,0.518,485.8,3.2,3.0,3.8,1.0,0.6,0.76,11.6,3.0,0.44400000000000006,8.0
Avaí,0.8,1.8,1.06,11.0,2.0,0.492,447.2,4.8,3.0,5.4,0.4,2.0,1.1400000000000001,12.2,3.6,0.47400000000000003,1.0
Bahia,1.6,0.4,1.2999999999999998,15.2,5.4,0.5599999999999999,521.2,2.6,2.2,5.4,1.4,0.8,1.44,14.2,5.0,0.5479999999999999,9.0
Botafogo (RJ),1.6,1.8,1.42,14.4,5.4,0.466,431.6,4.0,2.4,5.6,0.8,1.4,1.0399999999999998,13.4,4.4,0.476,5.0
Ceará,1.2,0.8,1.3400000000000003,14.6,4.6,0.454,402.8,3.8,3.0,4.4,0.6,1.0,0.9800000000000001,14.4,4.2,0.45600000000000007,4.0
Corinthians,1.6,0.6,1.7399999999999998,11.6,2.2,0.48999999999999994,442.4,2.4,2.0,4.0,1.2,1.0,1.2799999999999998,9.8,2.8,0.5599999999999999,9.0
Coritiba,0.6,1.2,0.96,10.6,2.0,0.48,445.4,5.0,4.0,3.6,1.2,0.8,0.8800000000000001,10.2,2.4,0.41,7.0
Criciúma,1.0,1.2,1.04,15.6,3.8,0.45600000000000007,426.6,4.6,3.4,6.8,0.6,1.8,0.74,10.4,3.8,0.384,1.0
Cruzeiro,1.6,0.6,1.3399999999999999,15.0,6.0,0.524,460.6,5.4,4.8,6.2,1.2,0.4,1.2000000000000002,9.0,5.0,0.4640000000000001,11.0
Cuiabá,0.8,1.0,0.7000000000000001,9.0,3.2,0.41600000000000004,395.8,3.4,2.6,3.8,0.6,1.2,0.5600000000000002,6.0,1.8,0.378,2.0
Flamengo,1.6,0.8,1.8,16.2,4.6,0.602,570.8,4.0,3.4,6.0,2.2,1.0,1.6799999999999997,14.8,4.2,0.6100000000000001,10.0
Fluminense,1.6,0.0,1.2600000000000002,13.6,5.2,0.5499999999999999,538.0,0.6,0.6,6.2,0.6,0.8,0.9400000000000004,12.4,4.0,0.586,9.0
Fortaleza,0.8,0.8,1.2,16.8,4.8,0.5,453.0,3.6,2.8,7.0,0.6,1.0,1.0,14.0,5.2,0.384,5.0
Goiás,0.6,1.0,0.8600000000000001,13.6,3.8,0.442,373.4,4.6,3.6,6.4,0.4,1.4,0.64,12.6,3.6,0.522,0.0
Grêmio,1.8,0.8,1.94,15.2,5.2,0.4800000000000001,447.8,3.8,3.0,4.6,1.0,1.6,1.46,13.6,3.4,0.42800000000000005,6.0
Internacional,1.4,0.8,2.3,14.8,5.4,0.528,470.4,2.4,1.6,5.4,0.4,0.6,1.2600000000000002,12.0,3.8,0.504,4.0
Juventude,0.8,1.6,0.9200000000000002,14.0,3.8,0.44800000000000006,408.8,3.0,1.6,6.0,0.8,2.0,0.78,12.0,3.0,0.41600000000000004,3.0
Mirassol,1.8,0.6,1.6800000000000002,12.4,4.8,0.53,480.6,2.8,2.2,7.2,1.6,0.6,1.6800000000000002,12.2,4.0,0.5599999999999999,10.0
Palmeiras,3.2,0.6,1.98,18.2,8.2,0.5820000000000001,495.8,2.8,2.4,6.0,2.6,1.0,1.56,18.4,8.0,0.5640000000000001,10.0
RB Bragantino,1.6,1.6,1.7599999999999998,14.8,4.4,0.47400000000000003,446.0,5.6,4.0,4.6,0.6,2.2,1.1800000000000002,11.8,2.4,0.476,3.0
Santos,1.0,0.6,1.4,16.6,4.2,0.534,467.2,0.8,0.4,5.6,1.2,1.6,1.6,16.0,5.2,0.558,5.0
Sport Recife,1.0,1.4,1.0,13.2,3.6,0.476,394.4,4.8,3.6,5.4,0.4,2.0,0.9400000000000001,11.8,3.0,0.49399999999999994,1.0
São Paulo,1.4,1.2,1.3199999999999998,13.4,3.8,0.5279999999999999,487.0,3.6,2.6,4.6,1.2,1.4,1.1199999999999997,12.6,3.6,0.5359999999999999,7.0
Vasco da Gama,2.2,1.2,1.8400000000000003,15.6,5.8,0.5860000000000001,529.8,3.6,2.6,4.2,1.4,1.0,1.2,12.2,4.2,0.496,9.0
Vitória,0.8,0.6,1.54,11.2,3.0,0.41,336.8,4.2,3.6,5.8,1.0,1.0,1.54,9.8,3.4,0.406,9.0
