Home,Average_Score_gols_H,Average_Conceding_gols_H,Average_xG_H,Average_ShotsTotal_H,Average_ShotsTarget_H,Average_Possession_H,Average_PassTotal_H,Average_SaveTotal_H,Average_SaveCompleted_H,Average_Corners_H,Home_General_Avg_Score_gols,Home_General_Avg_Conceding_gols,Home_General_Avg_xG,Home_General_Avg_ShotsTotal,Home_General_Avg_ShotsTarget,Home_General_Avg_Possession,Home_Recent_Form
América (MG),0.21052631578947367,1.0,0.41880341880341887,0.36904761904761907,0.25,0.33333333333333326,0.40205128205128204,0.7941176470588234,0.5925925925925927,0.326530612244898,0.11764705882352942,0.65,0.35483870967741943,0.3846153846153845,0.3333333333333333,0.5342465753424656,0.06666666666666667
Ath Paranaense,0.3684210526315789,0.23076923076923073,0.41025641025641035,0.5357142857142857,0.4722222222222223,0.2514619883040934,0.26256410256410256,0.38235294117647056,0.4074074074074075,0.34693877551020413,0.35294117647058826,0.2,0.41129032258064513,0.4134615384615384,0.48888888888888893,0.07762557077625565,0.5333333333333333
Atl Goianiense,0.05263157894736842,0.07692307692307693,0.14529914529914523,0.261904761904762,0.2777777777777778,0.3450292397660819,0.2892307692307692,0.38235294117647056,0.4814814814814815,0.30612244897959195,0.17647058823529413,0.25,0.28225806451612906,0.4711538461538462,0.42222222222222217,0.4840182648401824,0.3333333333333333
Atlético Mineiro,0.2631578947368421,0.15384615384615385,0.264957264957265,0.30952380952380953,0.2222222222222222,0.49122807017543857,0.4666666666666668,0.38235294117647056,0.4814814814814815,0.14285714285714288,0.29411764705882354,0.15,0.2661290322580645,0.4134615384615384,0.3333333333333333,0.42009132420091333,0.5333333333333333
Avaí,0.15789473684210525,0.6923076923076923,0.23931623931623935,0.15476190476190477,0.0,0.41520467836257313,0.36769230769230754,0.6176470588235292,0.4814814814814815,0.30612244897959195,0.11764705882352942,0.5,0.4193548387096775,0.44230769230769224,0.39999999999999997,0.48858447488584467,0.06666666666666667
Bahia,0.3684210526315789,0.15384615384615385,0.3418803418803419,0.40476190476190477,0.4722222222222223,0.6140350877192982,0.5574358974358975,0.29411764705882354,0.3333333333333334,0.30612244897959195,0.4117647058823529,0.2,0.5403225806451614,0.5384615384615383,0.5555555555555556,0.6575342465753421,0.6
Botafogo (RJ),0.3684210526315789,0.6923076923076923,0.3931623931623932,0.3571428571428572,0.4722222222222223,0.3391812865497077,0.3276923076923077,0.49999999999999994,0.3703703703703704,0.326530612244898,0.23529411764705885,0.35,0.37903225806451607,0.49999999999999994,0.48888888888888893,0.4931506849315067,0.3333333333333333
Ceará,0.2631578947368421,0.3076923076923077,0.35897435897435914,0.36904761904761907,0.36111111111111105,0.30409356725146197,0.25384615384615383,0.4705882352941176,0.4814814814814815,0.2040816326530613,0.17647058823529413,0.25,0.35483870967741943,0.5480769230769231,0.4666666666666667,0.4474885844748858,0.26666666666666666
Corinthians,0.3684210526315789,0.23076923076923073,0.5299145299145298,0.19047619047619047,0.02777777777777779,0.4093567251461987,0.3553846153846154,0.2647058823529411,0.29629629629629634,0.16326530612244902,0.35294117647058826,0.25,0.4758064516129032,0.3269230769230769,0.31111111111111106,0.6849315068493148,0.6
Coritiba,0.10526315789473684,0.46153846153846145,0.1965811965811966,0.13095238095238093,0.0,0.3801169590643274,0.3630769230769231,0.6470588235294116,0.6666666666666667,0.12244897959183679,0.35294117647058826,0.2,0.3145161290322581,0.3461538461538461,0.26666666666666666,0.34246575342465735,0.4666666666666667
